station_id,year,month,day,hour,temperature_c
2024 001 0,0,17,6,0,
2024 001 0,3,19,2,0,
2024 001 0,6,25,2,0,
2024 001 0,9,27,0,0,
2024 001 1,2,26,0,0,
2024 001 1,5,22,6,0,
2024 001 1,8,21,0,0,
2024 001 2,1,19,6,0,
2024 002 0,0,19,0,0,
2024 002 0,3,19,6,0,
2024 002 0,6,22,8,0,
2024 002 0,9,27,0,0,
2024 002 1,2,24,8,0,
2024 002 1,5,22,4,0,
2024 002 1,8,20,2,0,
2024 002 2,1,19,4,0,
2024 003 0,0,18,8,0,
2024 003 0,3,19,0,0,
2024 003 0,6,21,8,0,
2024 003 0,9,25,0,0,
2024 003 1,2,25,0,0,
2024 003 1,5,22,8,0,
2024 003 1,8,20,8,0,
2024 004 0,0,19,6,0,
2024 004 0,3,20,0,0,
2024 004 0,6,23,8,0,
2024 004 0,9,25,0,0,
2024 004 1,2,24,0,0,
2024 004 1,5,22,6,0,
2024 004 1,8,21,2,0,
2024 004 2,1,20,4,0,
2024 005 0,0,20,2,0,
2024 005 0,3,19,8,0,
2024 005 0,6,25,4,0,
2024 005 0,9,25,8,0,
2024 005 1,2,24,0,0,
2024 005 1,5,22,0,0,
2024 005 1,8,21,0,0,
2024 005 2,1,20,0,0,
2024 006 0,0,19,6,0,
2024 006 0,3,20,0,0,
2024 006 0,6,23,6,0,
2024 006 0,9,28,5,0,
2024 006 1,2,25,2,0,
2024 006 1,5,22,0,0,
2024 006 1,8,20,4,0,
2024 006 2,1,20,0,0,
2024 007 0,0,20,0,0,
2024 007 0,3,20,2,0,
2024 007 0,6,26,2,0,
2024 007 0,9,29,2,0,
2024 007 1,2,26,2,0,
2024 007 1,5,22,4,0,
2024 007 1,8,20,8,0,
2024 007 2,1,20,2,0,
2024 008 0,0,20,2,0,
2024 008 0,3,20,8,0,
2024 008 0,6,22,8,0,
2024 008 0,9,21,8,0,
2024 008 1,2,21,2,0,
2024 008 1,5,21,0,0,
2024 008 1,8,20,0,0,
2024 008 2,1,20,0,0,
2024 009 0,0,19,8,0,
2024 009 0,3,20,4,0,
2024 009 0,6,22,4,0,
2024 009 0,9,24,6,0,
