station_id,name,day_date,temperature_avg,zscore
IN009010500,"ANEKAL, IN",1945-06-10,20.6,-1.5915308386743932
IN009012800,"BANGALORE HINDUSTAN, IN",1956-12-23,23.9,-1.0444255177612038
IN009012800,"BANGALORE HINDUSTAN, IN",1944-07-27,74,1.0176083820817439
IN009012800,"BANGALORE HINDUSTAN, IN",2021-03-18,76,1.0999251046303646
IN009012800,"BANGALORE HINDUSTAN, IN",2016-09-20,74,1.0176083820817439
IN009010500,"ANEKAL, IN",1917-06-07,21.7,-1.3375428736380603
IN009010500,"ANEKAL, IN",1970-05-26,21.5,-1.3837225036446663
IN009012800,"BANGALORE HINDUSTAN, IN",2016-10-17,76,1.0999251046303646
IN009010500,"ANEKAL, IN",1958-06-13,21.9,-1.2913632436314546
IN009010500,"ANEKAL, IN",1958-05-24,34.1,1.5255941867715155
IN009010500,"ANEKAL, IN",1958-11-13,20.3,-1.6608002836843025
IN009010500,"ANEKAL, IN",1939-04-02,32,1.0407080717021515
IN009012800,"BANGALORE HINDUSTAN, IN",2015-07-29,84,1.4291919948248473
IN009010500,"ANEKAL, IN",1942-12-25,21.1,-1.476081763657878
IN009010500,"ANEKAL, IN",1928-02-09,21.3,-1.4299021336512723
IN009010500,"ANEKAL, IN",1913-10-30,22.4,-1.1759141686149395
IN009011801,"ATTIBELE, IN",1964-08-24,32.3,1.1152471606431504
IN009010500,"ANEKAL, IN",1969-09-21,34.2,1.5486840017748187
IN009010500,"ANEKAL, IN",1917-07-03,22.8,-1.0835549086017269
IN009010500,"ANEKAL, IN",1931-03-08,34.6,1.6410432617880306
IN009012800,"BANGALORE HINDUSTAN, IN",1962-03-24,78,1.1822418271789852
IN009012800,"BANGALORE HINDUSTAN, IN",2016-03-25,80,1.264558549727606
IN009012800,"BANGALORE HINDUSTAN, IN",1955-03-05,23,-1.0814680429080832
IN009010500,"ANEKAL, IN",1909-06-16,20.9,-1.5222613936644849
IN009011801,"ATTIBELE, IN",1957-01-09,33,1.2767697832348968
IN009012800,"BANGALORE HINDUSTAN, IN",1962-05-20,75,1.0587667433560541
IN009012800,"BANGALORE HINDUSTAN, IN",1943-04-22,83,1.3880336335505368
IN009010500,"ANEKAL, IN",1951-12-31,35,1.7334025218012423
IN009010500,"ANEKAL, IN",1911-06-14,21.9,-1.2913632436314546
IN009012800,"BANGALORE HINDUSTAN, IN",2016-08-28,74,1.0176083820817439
IN009010500,"ANEKAL, IN",1970-10-16,22,-1.2682734286281512
IN009012800,"BANGALORE HINDUSTAN, IN",2011-04-29,82,1.3468752722762265
IN009010500,"ANEKAL, IN",1936-02-24,20.5,-1.6146206536776966
IN009010500,"ANEKAL, IN",1910-06-26,34.9,1.710312706797939
IN009010500,"ANEKAL, IN",1914-01-22,22.3,-1.199003983618242
IN009012800,"BANGALORE HINDUSTAN, IN",1944-03-23,76,1.0999251046303646
IN009010500,"ANEKAL, IN",1940-05-31,33.1,1.2946960367384852
IN009011400,"VARTUR, IN",1963-04-09,21.7,-1.3237118757241393
