station_id,latitude,longitude,country_code,name
AYM00088963,-63.4,-56.983,BASE_ESPERANZA,**
AYM00088968,-60.733,-44.733,BASE_ORCADAS,**
AYM00089001,-70.3,-2.35,SANAE_SAF_BASE,**
AYM00089002,-70.667,-8.25,NEUMAYER,**
AYM00089003,-71.15,-6.683,HALVFARRYGGEN_EP11,**
AYM00089004,-71.7,-2.8,SANAE_AWS,**
AYM00089013,-82.767,-13.05,BALDRICK_AWS,**
AYM00089022,-75.45,-26.217,HALLEY,**
AYM00089034,-77.867,-34.617,BASE_BELGRANO_II,**
AYM00089050,-62.183,-58.883,BELLINGSHAUSEN_AWS,**
AYM00089053,-62.233,-58.633,BASE_JUBANY,**
AYM00089054,-62.183,-58.85,DINAMET_URUGUAY,**
AYM00089055,-64.233,-56.717,BASE_MARAMBIO,**
AYM00089056,-62.183,-58.983,CENTRO_MET_ANTARTICO_PDTE_E,**
AYM00089057,-62.5,-59.683,BASE_ARTURO_PRAT,**
AYM00089058,-62.217,-58.967,GREAT_WALL,**
AYM00089059,-63.317,-56.683,BASE_BERNARDO_O'HIGGINS,**
AYM00089061,-64.766,-64.083,PALMER_STATION,**
AYM00089062,-67.567,-68.117,ROTHERA,**
AYM00089063,-65.25,-64.267,VERNADSKY,**
AYM00089065,-71.317,-68.283,FOSSIL_BLUFF,**
AYM00089066,-68.117,-67.133,BASE_SAN_MARTIN,**
AYM00089108,-89,-1.017,HENRY,**
AYM00089251,-62.217,-58.75,KING_SEJONG,**
AYM00089252,-62.1,-58.4,FERRAZ,**
AYM00089257,-75.867,-59.15,UNIV_WI_ID_8925_LIMBERT_AWS,**
AYM00089262,-67.017,-61.467,UNIV_WI_ID_8926_LARSEN_ICE,**
AYM00089266,-72.2,-60.167,UNIV_WI_ID_8902_BUTLER_ISLA,**
AYM00089269,-64.783,-64.067,BONAPARTE_POINT,**
AYM00089272,-74.8,-71.483,UNIV_WI_ID_8917_SKI_BLU,**
AYM00089314,-84.6,-115.817,THERESA,**
AYM00089324,-80,-119.4,BYRD_STATION,**
AYM00089327,-73.2,-127.05,MOUNT_SIPLE,**
AYM00089329,-83,-121.383,HARRY,**
AYM00089332,-82.617,-137.083,ELIZABETH,**
AYM00089345,-81.65,-148.783,SIPLE_DOME,**
AYM00089376,-79.983,-178.6,GILL,**
AYM00089377,-82.517,-174.45,LETTAU,**
AYM00089504,-72.017,2.383,TROLL_IN_ANTARKTIS,**
